From Station,To Station,Line,Distance
Paddington,Edgware Road,Bakerloo,0.6
Edgware Road,Marylebone,Bakerloo,0.5
Marylebone,Baker Street,Bakerloo,0.5
Baker Street,Regent's Park,Bakerloo,0.8
Regent's Park,Oxford Circus,Bakerloo,1
Oxford Circus,Piccadilly Circus,Bakerloo,0.9
Piccadilly Circus,Charing Cross,Bakerloo,0.7
King's Cross St Pancras,Russell Square,Piccadilly,0.91
Russell Square,Holborn,Piccadilly,0.7
Holborn,Covent Garden,Piccadilly,0.6
Covent Garden,Leicester Square,Piccadilly,0.3
Leicester Square,Piccadilly Circus,Piccadilly,0.5
Piccadilly Circus,Green Park,Piccadilly,0.6
Camden Town,Mornington Crescent,Northern,0.62
Mornington Crescent,Euston,Northern,0.9
Euston,Tottenham Court Road,Northern,1.61
Tottenham Court Road,Leicester Square,Northern,0.6
Leicester Square,Charing Cross,Northern,0.4
Charing Cross,Embankment,Northern,0.3
Marble Arch,Bond Street,Central,0.6
Bond Street,Oxford Circus,Central,0.5
Oxford Circus,Tottenham Court Road,Central,0.7
Tottenham Court Road,Holborn,Central,0.7
Holborn,Bank,Central,2.31
King's Cross St Pancras,Euston,Victoria,0.8
Euston,Warren Street,Victoria,0.7
Warren Street,Oxford Circus,Victoria,1.15
Oxford Circus,Green Park,Victoria,1.05
Green Park,Victoria,Victoria,1.16
